gov_name_f,gov_id,nb festivals
Tunis,11,36
Ariana,12,14
Ben Arous,13,22
Manubah,14,10
Nabeul,15,46
Zaghouan,16,22
Bizerte,17,31
Béja,21,26
Jendouba,22,30
Le Kef,23,20
Siliana,24,15
Sousse,31,26
Monastir,32,25
Mahdia,33,25
Sfax,34,22
Kairouan,41,21
Kassérine,42,20
Sidi Bou Zid,43,2
Gabès,51,22
Médenine,52,23
Tataouine,53,19
Gafsa,61,22
Tozeur,62,22
Kebili,63,19
